"Pseudomonas","Competitor.Community","PhagePresence","Time_day","Pop","Density"
"lasR","Sa+Sm",1,16,"P_aeruginosa",14300000
"lasR","Sa+Sm",1,16,"PT7",1.22e+08
"lasR","Sa+Sm",1,16,"P_aeruginosa",720000
"lasR","Sa+Sm",1,16,"PT7",1.75e+08
"lasR","Sa+Sm",1,16,"P_aeruginosa",2300000
"lasR","Sa+Sm",1,16,"PT7",1.75e+08
"lasR","Sa+Sm",1,16,"P_aeruginosa",16500000
"lasR","Sa+Sm",1,16,"PT7",1.75e+08
"lasR","Sa+Sm",1,16,"P_aeruginosa",1.7e+07
"lasR","Sa+Sm",1,16,"PT7",1.75e+08
"lasR","Sa+Sm",1,16,"P_aeruginosa",14300000
"lasR","Sa+Sm",1,16,"PT7",1.75e+08
"lasR","Sa+Sm",1,16,"P_aeruginosa",720000
"PAO1","None",0,16,"P_aeruginosa",1.02e+08
"PAO1","None",0,16,"P_aeruginosa",1.03e+08
"PAO1","None",0,16,"P_aeruginosa",1.27e+08
"PAO1","None",0,16,"P_aeruginosa",1.01e+08
"PAO1","None",0,16,"P_aeruginosa",1.7e+07
